gramme de carbone	Volume de la solution	pH de la solution
0.394	3.416	4.259
0.524	2.301	4.081
0.401	3.432	4.293
0.37	2.534	3.838
0.457	2.661	4.034
0.537	2.736	3.973
0.671	3.53	3.996
0.5	3.241	4.416
0.272	3.43	3.905
0.199	3.069	4.039
0.475	2.385	3.741
0.68	2.773	4.211
0.698	2.641	4.224
0.446	2.384	4.199
0.18	3.189	3.966
0.694	3.579	4.194
0.353	3.06	4.213
0.322	2.553	3.699
0.37	3.181	3.709
0.261	3.914	3.766
0.103	3.124	3.915
0.278	2.71	4.268
0.446	2.887	4.149
0.377	3.235	3.783
0.456	2.62	3.917
0.447	3.309	3.99
0.494	3.143	3.973
0.234	3.172	3.824
0.557	2.888	3.26
0.693	3.194	4.188
0.368	3.238	4.268
0.203	2.466	3.736
0.733	2.287	3.737
0.692	2.911	3.99
0.096	3.304	3.54
0.68	3.056	3.843
0.514	2.046	4.392
0.549	2.209	3.987
0.655	2.713	4.053
0.219	2.696	4.039
0.556	2.981	3.742
0.41	3.17	3.793
0.739	3.575	3.897
0.447	2.947	4.267
0.511	3.936	3.719
0.546	3.181	4.442
0.513	4.031	4.389
0.533	3.697	3.709
0.428	2.968	4.449
0.593	2.959	4.03
0.435	3.935	3.947
0.427	1.969	3.772
0.484	2.332	3.647
0.199	3.229	4.061
0.412	2.728	3.969
0.478	3.06	4.178
0.331	3.329	3.993
0.395	3.071	3.914
0.319	2.675	4.091
0.544	3.035	4.045
0.572	2.609	4.151
0.239	3.456	3.873
0.569	3.612	4.042
0.647	3.544	3.922
0.636	3.256	3.812
0.526	3.441	3.75
0.572	2.867	3.767
0.434	3.021	4.315
0.577	2.988	3.732
0.483	2.854	3.755
0.436	3.914	3.819
0.463	2.949	3.867
0.353	2.975	3.77
0.191	2.062	3.796
0.462	3.083	3.815
0.323	2.499	4.039
0.521	2.676	4.206
0.571	2.703	4.053
0.577	3.026	3.639
0.402	3.194	3.569
0.761	3.638	3.839
0.291	3.181	4.226
0.515	2.646	3.607
0.632	2.903	3.958
0.506	2.684	4.149
0.748	3.247	4.168
0.412	3.586	3.582
0.633	3.783	3.918
0.49	2.503	4.039
0.553	3.282	4.11
0.565	2.568	3.827
0.175	2.384	3.738
0.384	3.75	3.609
0.543	3.005	4.045
0.448	2.144	3.913
0.635	3.532	4.006
0.803	2.729	4.454
0.357	2.686	4.107
0.535	3.423	3.95
0.411	2.759	4.043
0.686	3.699	3.668
0.365	2.652	3.452
0.217	3.723	3.768
0.622	2.47	4.127
0.348	2.96	3.834
0.869	2.843	4.265
0.587	3.083	4.188
0.186	3.175	3.706
0.578	3.133	3.95
0.303	3.383	4.05
0.432	2.96	3.894
0.664	2.368	4.018
0.62	2.686	3.751
0.526	3.333	3.636
0.5	3.376	4.072
0.403	2.7	3.995
0.815	3.121	3.89
0.659	2.825	4.374
0.293	2.849	3.782
0.309	2.953	3.914
0.6	3.324	4.047
0.267	3.194	3.52
0.522	2.55	3.893
0.341	2.48	4.115
0.321	2.471	3.923
0.338	3.216	3.945
0.68	2.763	3.69
0.387	1.973	3.85
0.25	2.865	3.857
0.48	3.087	4.175
0.362	3.049	3.963
0.518	3.821	3.68
0.467	2.748	3.908
0.248	3.16	3.842
0.485	3.062	3.897
0.452	3.876	4.051
0.586	2.845	4.018
0.25	2.585	3.918
0.638	2.883	3.986
0.574	3.463	3.862
0.421	3.463	3.828
0.545	3.436	3.861
0.421	3.36	4.163
0.508	4.453	3.965
0.321	2.553	3.98
0.551	3.11	3.917
0.301	3.194	3.837
0.428	3.201	3.779
0.647	3.715	3.855
0.497	2.846	3.781
0.376	2.86	3.828
0.447	2.196	3.777
0.471	2.681	3.884
0.719	3.224	3.699
0.47	2.997	4.496
0.291	2.948	3.862
0.609	3.113	4.226
0.36	3.137	4.102
0.525	3.193	3.919
0.471	2.029	4.218
0.458	2.306	3.983
0.479	2.6	3.832
0.752	3.021	3.964
0.401	2.72	3.944
0.56	2.954	3.496
0.499	2.414	4.365
0.217	3.692	4.111
0.446	2.414	3.91
0.46	2.345	3.687
0.271	3.262	3.815
0.567	3.203	4.049
0.347	3.407	4.275
0.438	3.854	4.449
0.302	2.488	3.886
0.659	2.29	4.131
0.638	2.405	3.861
0.572	2.255	3.835
0.326	3.723	4.131
0.693	3.121	4.037
0.586	2.65	3.692
0.421	3.49	3.863
0.528	2.241	4.19
0.531	2.569	4.187
0.641	2.6	3.986
0.252	2.825	4.129
0.632	3.128	3.867
0.587	3.554	4.281
0.615	3.003	3.875
0.632	2.427	4.02
0.646	3.905	3.748
0.44	2.96	3.796
0.341	3.614	4.222
0.474	2.913	4.133
0.514	2.795	3.992
0.452	2.7	3.948
0.604	2.777	4.189
0.63	3.573	3.793
0.67	2.603	4.204
0.704	3.566	3.881
0.503	2.629	3.933
0.53	3.098	3.596
0.365	2.487	3.788
0.581	2.692	3.452
0.266	2.629	3.801
0.43	3.435	3.931
0.403	2.826	3.821
0.369	4.047	3.689
0.16	2.684	4.163
0.333	2.707	3.926
0.494	2.615	3.52
0.711	3.196	3.958
0.467	2.133	3.975
0.554	3.332	3.691
0.566	3.1	4.137
0.422	4.295	4.042
0.389	3.494	3.984
0.687	2.222	4.005
0.208	2.642	4.197
0.316	3.671	3.982
0.621	2.689	4.01
0.202	3.112	3.791
0.453	3.5	3.583
0.38	3.391	3.89
0.326	2.407	3.917
0.404	2.599	4.166
0.272	3.281	3.653
0.471	2.815	3.983
0.63	3.381	4.034
0.603	2.254	3.97
0.415	2.251	3.585
0.47	2.612	3.951
0.486	1.87	4.022
0.476	2.771	3.842
0.568	2.614	3.858
0.447	2.915	3.804
0.407	2.789	3.938
0.301	2.364	4.007
0.317	3.079	3.771
0.633	2.848	4.031
0.586	2.766	3.738
0.796	3.96	3.704
0.558	2.579	4.198
0.349	3.236	4.335
0.737	3.195	4.159
0.534	3.079	3.786
0.646	3.839	3.884
0.417	2.439	4.069
0.409	2.943	4.002
0.56	3.172	4.047
0.529	3.638	3.723
0.348	2.597	3.919
0.494	2.246	3.769
0.582	3.016	4.057
0.41	3.071	4.252
0.575	2.587	3.895
0.531	2.71	3.948
0.684	3.123	3.959
0.716	3.407	3.824
0.576	2.445	3.881
0.376	2.859	3.611
0.58	3.787	4.197
0.475	2.622	3.646
0.552	3.473	3.451
0.355	2.813	3.94
0.291	2.207	4.121
0.577	3.31	3.612
0.529	3.16	3.806
0.572	3.195	3.703
0.728	3.037	3.899
0.314	3.65	3.586
0.589	2.291	4.089
0.381	4.217	3.956
0.272	3.202	3.757
0.399	3.693	3.867
0.505	3.042	3.706
0.487	2.818	4.26
0.596	2.966	3.733
